no,ID_PARTIDO,ABREVIATURA,GRUPO,FASE,RESULTADO
1,WC2026-001,MEX vs RSA,A,FASE DE GRUPOS,L
2,WC2026-002,KOR vs CZE,A,FASE DE GRUPOS,L
3,WC2026-003,CAN vs BIH,B,FASE DE GRUPOS,E
4,WC2026-004,USA vs PAR,D,FASE DE GRUPOS,L
5,WC2026-005,QAT vs SUI,B,FASE DE GRUPOS,E
6,WC2026-006,BRA vs MAR,C,FASE DE GRUPOS,E
7,WC2026-007,HTI vs SCO,C,FASE DE GRUPOS,V
8,WC2026-008,AUS vs TUR,D,FASE DE GRUPOS,L
9,WC2026-009,GER vs CUW,E,FASE DE GRUPOS,L
10,WC2026-010,NED vs JPN,F,FASE DE GRUPOS,E
11,WC2026-011,CIV vs ECU,E,FASE DE GRUPOS,L
12,WC2026-012,SWE vs TUN,F,FASE DE GRUPOS,L
13,WC2026-013,ESP vs CPV,H,FASE DE GRUPOS,E
14,WC2026-014,BEL vs EGY,G,FASE DE GRUPOS,E
15,WC2026-015,KSA vs URU,H,FASE DE GRUPOS,E
16,WC2026-016,IRI vs NZL,G,FASE DE GRUPOS,E
17,WC2026-017,FRA vs SEN,I,FASE DE GRUPOS,L
18,WC2026-018,IRQ vs NOR,I,FASE DE GRUPOS,V
19,WC2026-019,ARG vs DZA,J,FASE DE GRUPOS,L
20,WC2026-020,AUT vs JOR,J,FASE DE GRUPOS,L
21,WC2026-021,POR vs COD,K,FASE DE GRUPOS,E
22,WC2026-022,ENG vs CRO,L,FASE DE GRUPOS,L
23,WC2026-023,GHA vs PAN,L,FASE DE GRUPOS,L
24,WC2026-024,UZB vs COL,K,FASE DE GRUPOS,V
25,WC2026-025,CZE vs RSA,A,FASE DE GRUPOS,E
26,WC2026-026,SUI vs BIH,B,FASE DE GRUPOS,L
27,WC2026-027,CAN vs QAT,B,FASE DE GRUPOS,L
28,WC2026-028,MEX vs KOR,A,FASE DE GRUPOS,L
29,WC2026-029,USA vs AUS,D,FASE DE GRUPOS,L
30,WC2026-030,SCO vs MAR,C,FASE DE GRUPOS,V
31,WC2026-031,BRA vs HTI,C,FASE DE GRUPOS,L
32,WC2026-032,TUR vs PAR,D,FASE DE GRUPOS,V
33,WC2026-033,NED vs SWE,F,FASE DE GRUPOS,L
34,WC2026-034,GER vs CIV,E,FASE DE GRUPOS,
35,WC2026-035,ECU vs CUW,E,FASE DE GRUPOS,
36,WC2026-036,TUN vs JPN,F,FASE DE GRUPOS,
37,WC2026-037,ESP vs KSA,H,FASE DE GRUPOS,
38,WC2026-038,BEL vs IRI,G,FASE DE GRUPOS,
39,WC2026-039,URU vs CPV,H,FASE DE GRUPOS,
40,WC2026-040,NZL vs EGY,G,FASE DE GRUPOS,
41,WC2026-041,ARG vs AUT,J,FASE DE GRUPOS,
42,WC2026-042,FRA vs IRQ,I,FASE DE GRUPOS,
43,WC2026-043,NOR vs SEN,I,FASE DE GRUPOS,
44,WC2026-044,JOR vs DZA,J,FASE DE GRUPOS,
45,WC2026-045,POR vs UZB,K,FASE DE GRUPOS,
46,WC2026-046,ENG vs GHA,L,FASE DE GRUPOS,
47,WC2026-047,PAN vs CRO,L,FASE DE GRUPOS,
48,WC2026-048,COL vs COD,K,FASE DE GRUPOS,
49,WC2026-049,SUI vs CAN,B,FASE DE GRUPOS,
50,WC2026-050,BIH vs QAT,B,FASE DE GRUPOS,
51,WC2026-051,SCO vs BRA,C,FASE DE GRUPOS,
52,WC2026-052,MAR vs HTI,C,FASE DE GRUPOS,
53,WC2026-053,CZE vs MEX,A,FASE DE GRUPOS,
54,WC2026-054,RSA vs KOR,A,FASE DE GRUPOS,
55,WC2026-055,ECU vs GER,E,FASE DE GRUPOS,
56,WC2026-056,CUW vs CIV,E,FASE DE GRUPOS,
57,WC2026-057,TUN vs NED,F,FASE DE GRUPOS,
58,WC2026-058,JPN vs SWE,F,FASE DE GRUPOS,
59,WC2026-059,TUR vs USA,D,FASE DE GRUPOS,
60,WC2026-060,PAR vs AUS,D,FASE DE GRUPOS,
61,WC2026-061,NOR vs FRA,I,FASE DE GRUPOS,
62,WC2026-062,SEN vs IRQ,I,FASE DE GRUPOS,
63,WC2026-063,URU vs ESP,H,FASE DE GRUPOS,
64,WC2026-064,CPV vs KSA,H,FASE DE GRUPOS,
65,WC2026-065,NZL vs BEL,G,FASE DE GRUPOS,
66,WC2026-066,EGY vs IRI,G,FASE DE GRUPOS,
67,WC2026-067,PAN vs ENG,L,FASE DE GRUPOS,
68,WC2026-068,CRO vs GHA,L,FASE DE GRUPOS,
69,WC2026-069,COL vs POR,K,FASE DE GRUPOS,
70,WC2026-070,COD vs UZB,K,FASE DE GRUPOS,
71,WC2026-071,JOR vs ARG,J,FASE DE GRUPOS,
72,WC2026-072,DZA vs AUT,J,FASE DE GRUPOS,
73,WC2026-049,,,OCTAVOS,
74,WC2026-050,,,OCTAVOS,
75,WC2026-051,,,OCTAVOS,
76,WC2026-052,,,OCTAVOS,
77,WC2026-053,,,OCTAVOS,
78,WC2026-054,,,OCTAVOS,
79,WC2026-055,,,OCTAVOS,
80,WC2026-056,,,OCTAVOS,
81,WC2026-057,,,CUARTOS,
82,WC2026-058,,,CUARTOS,
83,WC2026-059,,,CUARTOS,
84,WC2026-060,,,CUARTOS,
85,WC2026-061,,,SEMIFINAL,
86,WC2026-062,,,SEMIFINAL,
87,WC2026-063,,,CLASIFICACION/FINAL,
88,WC2026-064,,,CLASIFICACION/FINAL,
89,WC2026-065,,,CLASIFICACION/FINAL,
90,WC2026-066,,,CLASIFICACION/FINAL,
91,WC2026-067,,,CLASIFICACION/FINAL,
92,WC2026-068,,,CLASIFICACION/FINAL,
93,WC2026-069,,,CLASIFICACION/FINAL,
94,WC2026-070,,,CLASIFICACION/FINAL,
95,WC2026-071,,,CLASIFICACION/FINAL,
96,WC2026-072,,,CLASIFICACION/FINAL,
