nombre,WC2026-001,WC2026-002,WC2026-003,WC2026-004,WC2026-005,WC2026-006,WC2026-007,WC2026-008,WC2026-009,WC2026-010,WC2026-011,WC2026-012,WC2026-013,WC2026-014,WC2026-015,WC2026-016,WC2026-017,WC2026-018,WC2026-019,WC2026-020,WC2026-021,WC2026-022,WC2026-023,WC2026-024,WC2026-025,WC2026-026,WC2026-027,WC2026-028,WC2026-029,WC2026-030,WC2026-031,WC2026-032,WC2026-033,WC2026-034,WC2026-035,WC2026-036,WC2026-037,WC2026-038,WC2026-039,WC2026-040,WC2026-041,WC2026-042,WC2026-043,WC2026-044,WC2026-045,WC2026-046,WC2026-047,WC2026-048,WC2026-049,WC2026-050,WC2026-051,WC2026-052,WC2026-053,WC2026-054,WC2026-055,WC2026-056,WC2026-057,WC2026-058,WC2026-059,WC2026-060,WC2026-061,WC2026-062,WC2026-063,WC2026-064,WC2026-065,WC2026-066,WC2026-067,WC2026-068,WC2026-069,WC2026-070,WC2026-071,WC2026-072,WC2026-073,WC2026-074,WC2026-075,WC2026-076,WC2026-077,WC2026-078,WC2026-079,WC2026-080,WC2026-081,WC2026-082,WC2026-083,WC2026-084,WC2026-085,WC2026-086,WC2026-087,WC2026-088,WC2026-089,WC2026-090,WC2026-091,WC2026-092,WC2026-093,WC2026-094,WC2026-095,WC2026-096,WC2026-097,WC2026-098,WC2026-099,WC2026-100,WC2026-101,WC2026-102,WC2026-103,WC2026-104
alfonso,E,L,L,V,E,E,V,L,L,L,L,E,L,L,V,E,L,V,L,E,L,L,V,V,L,L,L,E,L,V,L,V,L,L,E,V,L,L,L,V,L,L,E,E,L,L,E,L,L,E,L,V,V,V,V,V,V,E,V,E,V,E,L,V,V,L,V,L,L,E,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angelita,L,V,E,E,E,L,V,V,L,L,V,L,L,L,E,V,V,E,L,E,L,V,V,V,V,E,E,E,V,E,L,L,L,L,E,V,L,E,L,L,L,L,E,V,L,L,V,L,E,E,L,V,E,L,E,V,V,L,L,E,E,L,E,V,V,L,V,L,E,V,E,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laura,L,L,L,V,E,L,V,L,L,L,V,E,L,L,V,E,L,V,L,E,L,E,E,L,E,L,L,E,L,L,L,L,E,L,E,V,L,L,L,E,L,L,L,E,L,L,V,L,V,E,E,V,V,V,E,V,V,L,V,L,V,E,E,V,L,L,V,L,V,E,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david,V,E,L,V,L,V,L,L,L,V,L,V,V,L,L,V,V,L,V,E,V,V,E,V,V,V,V,V,V,E,L,V,V,E,V,L,V,V,V,L,E,V,E,L,V,V,L,E,V,L,V,L,E,E,L,L,L,E,E,E,L,V,E,L,L,E,L,V,E,E,E,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salvador,L,E,L,L,V,L,V,E,L,V,E,L,L,L,V,L,L,L,L,L,L,L,L,V,L,L,L,L,L,V,L,V,L,L,L,V,L,L,L,V,L,L,E,E,L,L,V,L,L,L,L,V,L,V,V,V,V,L,V,E,V,L,V,V,V,V,L,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedro,L,L,L,E,V,L,V,E,L,E,V,L,L,L,V,L,L,V,L,L,L,L,E,V,L,L,L,L,L,V,L,V,L,L,L,V,L,L,L,E,L,L,L,V,L,L,V,L,V,L,L,V,V,V,V,V,V,E,V,L,V,L,V,E,V,L,V,L,V,L,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jafet,L,L,L,E,V,L,E,V,L,L,V,L,L,L,V,E,L,V,L,L,L,E,V,V,E,L,L,L,L,V,L,V,L,L,L,V,L,L,L,V,L,L,L,E,L,L,E,L,E,L,L,V,E,V,V,E,V,E,L,E,L,L,V,V,V,L,V,L,V,L,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liliana,L,L,L,L,V,L,V,V,L,V,E,L,L,L,L,E,L,V,L,L,L,L,E,V,L,L,L,L,E,L,L,V,V,L,L,V,L,L,L,L,L,L,L,V,L,L,V,E,L,L,L,E,V,V,V,V,E,V,L,L,V,V,V,E,V,E,V,L,E,E,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eduardol,L,L,L,L,V,L,L,E,L,L,E,L,L,L,E,V,L,V,L,E,L,L,V,V,L,L,L,E,V,E,L,E,E,L,E,V,L,L,L,L,E,L,L,E,L,L,V,L,L,V,L,V,V,V,E,V,V,E,E,V,V,E,V,V,E,L,V,L,V,E,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yanet,V,E,V,V,L,L,L,L,V,V,L,E,V,V,E,V,V,L,V,E,V,E,E,L,V,E,V,V,E,E,V,E,V,V,V,L,V,V,V,L,V,V,E,L,V,V,L,V,E,L,V,L,L,L,V,L,L,E,V,V,L,V,E,L,L,E,L,V,L,E,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martin,L,L,L,L,V,L,V,L,L,E,E,L,L,L,V,V,L,V,L,L,L,V,V,V,L,L,L,L,E,V,L,V,L,L,E,V,E,L,L,L,L,L,L,E,L,L,V,L,L,E,L,V,V,V,E,V,V,E,L,L,V,E,E,V,E,V,V,L,V,E,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
