partido,nombre
1,MEX vs RSA
2,KOR vs CZE
3,CAN vs BIH
4,USA vs PAR
5,QAT vs SUI
6,BRA vs MAR
7,HAI vs SCO
8,AUS vs TUR
9,GER vs CUW
10,NED vs JPN
11,CIV vs ECU
12,SWE vs TUN
13,ESP vs CPV
14,BEL vs EGY
15,KSA vs URU
16,IRN vs NZL
17,FRA vs SEN
18,IRQ vs NOR
19,ARG vs ALG
20,AUT vs JOR
21,POR vs COD
22,ENG vs CRO
23,GHA vs PAN
24,UZB vs COL
25,CZE vs RSA
26,SUI vs BIH
27,CAN vs QAT
28,MEX vs KOR
29,USA vs AUS
30,SCO vs MAR
31,BRA vs HAI
32,TUR vs PAR
33,NED vs SWE
34,GER vs CIV
35,ECU vs CUW
36,TUN vs JPN
37,ESP vs KSA
38,BEL vs IRN
39,URU vs CPV
40,NZL vs EGY
41,ARG vs AUT
42,FRA vs IRQ
43,NOR vs SEN
44,JOR vs ALG
45,POR vs UZB
46,ENG vs GHA
47,PAN vs CRO
48,COL vs COD
49,SUI vs CAN
50,BIH vs QAT
51,MAR vs HAI
52,SCO vs BRA
53,RSA vs KOR
54,CZE vs MEX
55,CUW vs CIV
56,ECU vs GER
57,TUN vs NED
58,JPN vs SWE
59,TUR vs USA
60,PAR vs AUS
61,NOR vs FRA
62,SEN vs IRQ
63,CPV vs KSA
64,URU vs ESP
65,NZL vs BEL
66,EGY vs IRN
67,PAN vs ENG
68,CRO vs GHA
69,COL vs POR
70,COD vs UZB
71,ALG vs AUT
72,JOR vs ARG
