nombre,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
alfonso,E,L,L,V,E,E,V,L,L,L,L,E,L,L,V,E,L,V,L,E,L,L,V,V,L,L,L,E,L,V,L,V,L,L,E,V,L,L,L,V,L,L,E,E,L,L,E,L,L,E,L,V,V,V,V,V,V,E,V,E,V,E,L,V,V,L,V,L,L,E,V,V
angelita,L,V,E,E,E,L,V,V,L,L,V,L,L,L,E,V,V,E,L,E,L,V,V,V,V,E,E,E,V,E,L,L,L,L,E,V,L,E,L,L,L,L,E,V,L,L,V,L,E,E,L,V,E,L,E,V,V,L,L,E,E,L,E,V,V,L,V,L,E,V,E,V
laura,L,L,L,V,E,L,V,L,L,L,V,E,L,L,V,E,L,V,L,E,L,E,E,L,E,L,L,E,L,L,L,L,E,L,E,V,L,L,L,E,L,L,L,E,L,L,V,L,V,E,E,V,V,V,E,V,V,L,V,L,V,E,E,V,L,L,V,L,V,E,V,V
david,V,E,L,V,L,V,L,L,L,V,L,V,V,L,L,V,V,L,V,E,V,V,E,V,V,V,V,V,V,E,L,V,V,E,V,L,V,V,V,L,E,V,E,L,V,V,L,E,V,L,V,L,E,E,L,L,L,E,E,E,L,V,E,L,L,E,L,V,E,E,E,L
salvador,L,E,L,L,V,L,V,E,L,V,E,L,L,L,V,L,L,L,L,L,L,L,L,V,L,L,L,L,L,V,L,V,L,L,L,V,L,L,L,V,L,L,E,E,L,L,V,L,L,L,L,V,L,V,V,V,V,L,V,E,V,L,V,V,V,V,L,L,V,L,V,V
pedro,L,L,L,E,V,L,V,E,L,E,V,L,L,L,V,L,L,V,L,L,L,L,E,V,L,L,L,L,L,V,L,V,L,L,L,V,L,L,L,E,L,L,L,V,L,L,V,L,V,L,L,V,V,V,V,V,V,E,V,L,V,L,V,E,V,L,V,L,V,L,L,V
jafet,L,L,L,E,V,L,E,V,L,L,V,L,L,L,V,E,L,V,L,L,L,E,V,V,E,L,L,L,L,V,L,V,L,L,L,V,L,L,L,V,L,L,L,E,L,L,E,L,E,L,L,V,E,V,V,E,V,E,L,E,L,L,V,V,V,L,V,L,V,L,V,V
liliana,L,L,L,L,V,L,V,V,L,V,E,L,L,L,L,E,L,V,L,L,L,L,E,V,L,L,L,L,E,L,L,V,V,L,L,V,L,L,L,L,L,L,L,V,L,L,V,E,L,L,L,E,V,V,V,V,E,V,L,L,V,V,V,E,V,E,V,L,E,E,V,V
eduardol,L,L,L,L,V,L,L,E,L,L,E,L,L,L,E,V,L,V,L,E,L,L,V,V,L,L,L,E,V,E,L,E,E,L,E,V,L,L,L,L,E,L,L,E,L,L,V,L,L,V,L,V,V,V,E,V,V,E,E,V,V,E,V,V,E,L,V,L,V,E,V,V
yanet,V,E,V,V,L,L,L,L,V,V,L,E,V,V,E,V,V,L,V,E,V,E,E,L,V,E,V,V,E,E,V,E,V,V,V,L,V,V,V,L,V,V,E,L,V,V,L,V,E,L,V,L,L,L,V,L,L,E,V,V,L,V,E,L,L,E,L,V,L,E,L,L
martin,L,L,L,L,V,L,V,L,L,E,E,L,L,L,V,V,L,V,L,L,L,V,V,V,L,L,L,L,E,V,L,V,L,L,E,V,E,L,L,L,L,L,L,E,L,L,V,L,L,E,L,V,V,V,E,V,V,E,L,L,V,E,E,V,E,V,V,L,V,E,V,V
omar,L,E,L,L,V,L,V,E,L,L,E,L,L,L,V,L,L,V,L,L,L,L,L,V,L,L,L,L,L,V,L,E,L,L,L,V,L,L,L,V,L,L,E,V,L,L,V,L,E,L,L,V,V,V,V,V,V,E,V,E,V,L,V,V,V,L,V,L,V,L,V,V
adelina,L,L,V,L,L,L,V,L,L,V,L,L,L,L,V,L,L,V,L,V,L,V,L,V,V,L,L,L,V,V,L,V,L,L,L,L,L,V,L,L,L,E,V,E,L,V,E,L,L,E,L,V,V,V,V,V,E,V,V,E,V,E,V,V,V,V,V,L,L,E,V,V
emiliano,L,L,E,L,V,L,V,V,L,L,V,L,L,L,V,V,L,V,L,V,L,L,E,V,L,L,L,L,V,V,L,L,L,L,L,V,L,L,L,V,L,L,L,E,L,L,V,L,V,E,L,V,V,V,L,V,V,L,V,V,V,L,V,V,V,L,V,L,V,L,L,V
sofi,L,E,L,L,L,E,V,V,E,E,V,E,L,V,V,V,L,L,L,E,L,V,L,V,V,E,L,V,L,V,E,E,L,L,E,E,V,L,E,V,L,L,E,V,E,E,V,E,V,V,V,V,V,V,E,L,L,L,V,E,E,V,V,E,V,L,V,E,V,L,E,V
israel,L,E,V,E,V,E,V,V,L,L,E,L,L,L,V,E,E,V,L,E,L,L,L,V,L,L,L,E,L,V,L,V,L,L,L,V,L,L,L,V,L,L,E,V,L,E,V,L,E,L,L,V,V,E,V,V,V,L,E,L,E,L,E,L,V,E,V,L,E,E,L,V
ulises,E,L,E,L,V,L,E,V,L,L,V,L,L,L,V,L,L,V,L,L,L,L,V,V,L,L,E,L,L,E,L,V,L,L,L,V,L,L,L,E,L,L,L,V,L,L,V,L,E,L,E,V,V,V,L,V,V,V,V,L,V,E,E,V,V,V,V,L,V,V,V,V
didier,L,L,E,L,L,L,V,E,L,V,L,L,L,L,E,V,L,V,L,E,L,L,E,V,L,L,V,L,L,E,L,E,V,L,V,V,L,L,E,L,L,L,L,E,L,L,V,V,L,V,L,V,V,V,L,V,E,L,V,E,V,E,L,V,V,E,V,E,V,E,L,V
